field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,winter_minute_survey_on_covid19_vaccines,,text,"Record ID",,,,,,,,,,,,,
cope_vaccine3,winter_minute_survey_on_covid19_vaccines,,descriptive,"COVID-19 Vaccine Survey",,"Start Date: 11/1/2021; End Date: 1/20/2022",,,,,,,,,,,
cdc_covid_xx_symptom_seconddose,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE=COPE_A_236
cdc_covid_xx_symptom_seconddose_cope_350,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_seconddose(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
dmfs_xx_1,winter_minute_survey_on_covid19_vaccines,,radio,"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?","cope_a_318, Very likely | cope_a_317, Likely | cope_a_273, I do not know yet | cope_a_315, Unlikely | cope_a_316, Very unlikely","Start Date: 10/27/2020; End Date: 03/08/2022",,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_13' or [cdc_covid_xx_firstdose] = 'cope_a_334'",,,,,,
dmfs_29,winter_minute_survey_on_covid19_vaccines,,checkbox,"What factors might make you less likely to get the vaccine? Please select all that apply.","cope_a_303, I will not get/am never sick. | cope_a_290, It is just a virus/not fatal/not necessary. | cope_a_291, I never get vaccinated. | cope_a_292, I do not trust the vaccine. | cope_a_293, I do not want to pay for it. | cope_a_295, Vaccination location is not convenient. | cope_a_354, Difficulty making an appointment. | cope_a_288, It depends on the risks/adverse events. | cope_a_297, I have not thought about it yet. | cope_a_298, I am not in a risk group with underlying conditions. | cope_a_299, I need more information first. | cope_a_301, I have already had COVID-19. | cope_a_302, I am going to let others get it first (herd immunity). | cope_a_351, I have had severe allergic reactions to vaccines in the past. | cope_a_352, I am concerned that it will not interact well with other medications/treatments that I am currently taking. | cope_a_353, I am currently pregnant, planning a pregnancy, or breastfeeding. | COPE_A_202, Do not know yet. | COPE_A_204, Other","Start Date: 10/27/2020; End Date: 03/08/2022",,,,,"[dmfs_xx_1] = 'cope_a_317' or [dmfs_xx_1] = 'cope_a_273' or [dmfs_xx_1] = 'cope_a_315' or [dmfs_xx_1] = 'cope_a_316'",,,,,,"""@NONEOFTHEABOVE=COPE_A_202"""
dmfs_29a,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 10/27/2020; End Date: 03/08/2022",,,,,"[dmfs_29(COPE_A_204)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
dmfs_xx_1_seconddose,winter_minute_survey_on_covid19_vaccines,,radio,"When a second COVID-19 vaccine is available to you, how likely are you to get vaccinated?","cope_a_318, Very likely | cope_a_317, Likely | cope_a_273, I do not know yet | cope_a_315, Unlikely | cope_a_316, Very unlikely","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_seconddose] = 'COPE_A_13' and ([cdc_covid_xx_b_firstdose] = 'cope_a_335' or [cdc_covid_xx_b_firstdose] = 'cope_a_330' or [cdc_covid_xx_b_firstdose] = 'cope_a_331' or [cdc_covid_xx_b_firstdose] = 'COPE_A_204' or [cdc_covid_xx_b_firstdose] = 'COPE_A_52')",,,,,,
dmfs_29_seconddose,winter_minute_survey_on_covid19_vaccines,,checkbox,"What factors might make you less likely to get the vaccine? Please select all that apply.","cope_a_293, I do not want to pay for it. | cope_a_354, Difficulty making an appointment. | cope_a_355, I had a severe adverse reaction to the first COVID-19 dose. | cope_a_356, I know family/friends that had a severe adverse reaction to the second COVID-19 dose. | cope_a_353, I am currently pregnant, planning a pregnancy, or breastfeeding. | COPE_A_204, Other","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[dmfs_xx_1_seconddose] = 'cope_a_317' or [dmfs_xx_1_seconddose] = 'cope_a_273' or [dmfs_xx_1_seconddose] = 'cope_a_315' or [dmfs_xx_1_seconddose] = 'cope_a_316'",,,,,,
dmfs_29_seconddose_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[dmfs_29_seconddose(COPE_A_204)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose3,winter_minute_survey_on_covid19_vaccines,,radio,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or additional full doses of the COVID-19 vaccine.","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_firstdose] = 'cope_a_336' or ([cdc_covid_xx_b_firstdose] = 'cope_a_335' or [cdc_covid_xx_b_firstdose] = 'cope_a_330' or [cdc_covid_xx_b_firstdose] = 'cope_a_331' or [cdc_covid_xx_b_firstdose] = 'COPE_A_52' or [cdc_covid_xx_b_firstdose] = 'COPE_A_204') and ([cdc_covid_xx_b_seconddose] = 'cope_a_335' or [cdc_covid_xx_b_seconddose] = 'cope_a_330' or [cdc_covid_xx_b_seconddose] = 'cope_a_331' or [cdc_covid_xx_b_seconddose] = 'COPE_A_52' or [cdc_covid_xx_b_seconddose] = 'COPE_A_204')",,,,,,
cdc_covid_xx_a_date3,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose3] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose3,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose3] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose3_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose3] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose3,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose3] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose3,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose3(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose3,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose3] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose3_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose3] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
dmfs_xx_1_additionaldose,winter_minute_survey_on_covid19_vaccines,,radio,"If an additional dose is available to you, how likely are you to get vaccinated?","cope_a_318, Very likely | cope_a_317, Likely | cope_a_273, I do not know yet | cope_a_363, Not likely now, but maybe later | cope_a_315, Unlikely | cope_a_316, Very unlikely","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose3] = 'COPE_A_13' or [cdc_covid_xx_dose3] = 'COPE_A_52'",,,,,,
dmfs_29_additionaldose,winter_minute_survey_on_covid19_vaccines,,checkbox,"What factors might make you less likely to get an additional dose? Please select all that apply.","cope_a_293, I do not want to pay for it. | cope_a_354, Difficulty making an appointment. | cope_a_355, I had a severe adverse reaction to the first or second COVID-19 dose. | cope_a_356, I know family/friends that had a severe adverse reaction to the first or second COVID-19 dose. | cope_a_353, I am currently or planning to be pregnant or breastfeeding | cope_a_359, There is not enough data on additional doses. | cope_a_360, I had COVID-19 after being fully vaccinated. | cope_a_364, I think I'm sufficiently protected against COVID-19. | cope_a_365, I think I should wait to get my booster until more people around the world can get vaccinated. | COPE_A_204, Other","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[dmfs_xx_1_additionaldose] = 'cope_a_317' or [dmfs_xx_1_additionaldose] = 'cope_a_273' or [dmfs_xx_1_additionaldose] = 'cope_a_315' or [dmfs_xx_1_additionaldose] = 'cope_a_316' or [dmfs_xx_1_additionaldose] = 'cope_a_363'",,,,,,
dmfs_29_additionaldose_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[dmfs_29_additionaldose(COPE_A_204)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRSSED"
cdc_covid_xx_dose4,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose3] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date4,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose4] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose4,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose4] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose4_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose4] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose4,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose4] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose4,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose4(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose4,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose4] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose4_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose4] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose5,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose4] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date5,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose5] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose5,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose5] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose5_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose5] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose5,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose5] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose5,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose5(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose5,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose5] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose5_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose5] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose6,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose5] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date6,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose6] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose6,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose6] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose6_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose6] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose6,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose6] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose6,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose6(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose6,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose6] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose6_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose6] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose7,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose6] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date7,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose7] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
